# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Mar 30 11:27:40 2017
#
# CONSTRAINT:  where (pl_pnum > 1
# CONSTRAINT:  )
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_massblend:   Stellar Mass Blend Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_radblend:    Stellar Radius Blend Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim
8,24 Sex,b,Radial Velocity,2,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,0.090000,0.140000,-0.060000,0,,,,,1.99000,0.26000,-0.38000,0,Msini,,,,,,,,,0,0,0,1.54,0.08,-0.08,0,0,4.90,0.08,-0.08,0,0,2014-05-14,,,,
9,24 Sex,c,Radial Velocity,2,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,0.290000,0.160000,-0.090000,0,,,,,0.86000,0.35000,-0.22000,0,Msini,,,,,,,,,0,0,0,1.54,0.08,-0.08,0,0,4.90,0.08,-0.08,0,0,2014-05-14,,,,
20,47 UMa,b,Radial Velocity,3,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,0.032000,0.014000,-0.014000,0,,,,,2.53000,0.07000,-0.06000,0,Msini,,,,,,,,,0,0,0,1.03,0.05,-0.05,0,0,1.23,,,0,0,2014-05-14,,,,
21,47 UMa,c,Radial Velocity,3,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,0.098000,0.047000,-0.096000,0,,,,,0.54000,0.06600,-0.07300,0,Msini,,,,,,,,,0,0,0,1.03,0.05,-0.05,0,0,1.23,,,0,0,2014-05-14,,,,
22,47 UMa,d,Radial Velocity,3,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,0.160000,0.090000,-0.160000,0,,,,,1.64000,0.29000,-0.48000,0,Msini,,,,,,,,,0,0,0,1.03,0.05,-0.05,0,0,1.23,,,0,0,2014-05-14,,,,
25,55 Cnc,b,Radial Velocity,5,14.65152000,0.00015000,-0.00015000,0,0.115227,0.000001,-0.000001,0,0.003400,0.003200,-0.003200,0,90.000,,,0,0.83060,0.00330,-0.00330,0,Mass,,,,,,,,,0,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0,2014-10-29,,,,
26,55 Cnc,c,Radial Velocity,5,44.41750000,0.00730000,-0.00730000,0,0.241376,0.000026,-0.000026,0,0.020000,0.031000,-0.031000,0,90.000,,,0,0.17140,0.00550,-0.00550,0,Mass,,,,,,,,,0,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0,2014-10-29,,,,
27,55 Cnc,d,Radial Velocity,5,4825.00000000,39.00000000,-39.00000000,0,5.503000,0.030000,-0.030000,0,0.019000,0.013000,-0.013000,0,90.000,,,0,3.87800,0.06800,-0.06800,0,Mass,,,,,,,,,0,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0,2014-10-29,,,,
28,55 Cnc,e,Radial Velocity,5,0.73653900,0.00000700,-0.00000700,0,0.015440,0.000090,-0.000090,0,,,,,83.300,0.900,-0.800,0,0.02542,0.00098,-0.00098,0,Mass,0.170,0.007,-0.007,0,6.40000,0.80000,-0.70000,0,0,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0,2016-07-07,1.910,0.080,-0.080,0
29,55 Cnc,f,Radial Velocity,5,262.00000000,0.51000000,-0.51000000,0,0.788000,0.001000,-0.001000,0,0.305000,0.075000,-0.075000,0,90.000,,,0,0.14100,0.01200,-0.01200,0,Mass,,,,,,,,,0,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0,2014-10-29,,,,
31,61 Vir,b,Radial Velocity,3,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,0.120000,0.110000,-0.110000,0,,,,,0.01600,0.00200,-0.00200,0,Msini,,,,,,,,,0,0,0,0.94,0.03,-0.03,0,0,0.96,0.01,-0.01,0,0,2014-05-14,,,,
32,61 Vir,c,Radial Velocity,3,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,0.140000,0.060000,-0.060000,0,,,,,0.05700,0.00300,-0.00300,0,Msini,,,,,,,,,0,0,0,0.94,0.03,-0.03,0,0,0.96,0.01,-0.01,0,0,2014-05-14,,,,
33,61 Vir,d,Radial Velocity,3,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,0.350000,0.090000,-0.090000,0,,,,,0.07200,0.00800,-0.00800,0,Msini,,,,,,,,,0,0,0,0.94,0.03,-0.03,0,0,0.96,0.01,-0.01,0,0,2014-05-14,,,,
45,BD+20 2457,b,Radial Velocity,2,379.63000000,2.01000000,-2.01000000,0,1.450000,,,0,0.150000,0.030000,-0.030000,0,,,,,21.42000,,,0,Msini,,,,,,,,,0,0,0,2.80,1.50,-1.50,0,0,49.00,26.00,-26.00,0,0,2014-05-14,,,,
46,BD+20 2457,c,Radial Velocity,2,621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,0.180000,0.060000,-0.060000,0,,,,,12.47000,,,0,Msini,,,,,,,,,0,0,0,2.80,1.50,-1.50,0,0,49.00,26.00,-26.00,0,0,2014-05-14,,,,
51,BD-06 1339,b,Radial Velocity,2,3.87280000,0.00040000,-0.00040000,0,0.042800,0.000700,-0.000700,0,0.000000,,,0,,,,,0.02700,0.00400,-0.00400,0,Msini,,,,,,,,,0,0,0,0.70,,,0,0,,,,,,2014-05-14,,,,
52,BD-06 1339,c,Radial Velocity,2,125.94000000,0.44000000,-0.44000000,0,0.435000,0.007000,-0.007000,0,0.310000,0.110000,-0.110000,0,,,,,0.17000,0.03000,-0.03000,0,Msini,,,,,,,,,0,0,0,0.70,,,0,0,,,,,,2014-05-14,,,,
53,BD-08 2823,b,Radial Velocity,2,5.60000000,0.02000000,-0.02000000,0,0.056000,0.002000,-0.002000,0,0.150000,0.150000,-0.150000,0,,,,,0.04500,0.00700,-0.00700,0,Msini,,,,,,,,,0,0,0,0.74,0.07,-0.07,0,0,,,,,,2014-05-14,,,,
54,BD-08 2823,c,Radial Velocity,2,237.60000000,1.50000000,-1.50000000,0,0.680000,0.020000,-0.020000,0,0.190000,0.090000,-0.090000,0,,,,,0.33000,0.03000,-0.03000,0,Msini,,,,,,,,,0,0,0,0.74,0.07,-0.07,0,0,,,,,,2014-05-14,,,,
